"TotalEnvSteps","env_id: Ant-v4 - _step","env_id: Ant-v4 - _step__MIN","env_id: Ant-v4 - _step__MAX","env_id: Ant-v4 - Metrics/EpRet","env_id: Ant-v4 - Metrics/EpRet__MIN","env_id: Ant-v4 - Metrics/EpRet__MAX","env_id: Walker2d-v4 - _step","env_id: Walker2d-v4 - _step__MIN","env_id: Walker2d-v4 - _step__MAX","env_id: Walker2d-v4 - Metrics/EpRet","env_id: Walker2d-v4 - Metrics/EpRet__MIN","env_id: Walker2d-v4 - Metrics/EpRet__MAX","env_id: Hopper-v4 - _step","env_id: Hopper-v4 - _step__MIN","env_id: Hopper-v4 - _step__MAX","env_id: Hopper-v4 - Metrics/EpRet","env_id: Hopper-v4 - Metrics/EpRet__MIN","env_id: Hopper-v4 - Metrics/EpRet__MAX"
"1800000","89","89","89","-4645.584635416667","-4971.16357421875","-4399.681640625","89","89","89","581.8512166341146","563.5947875976562","594.6380615234375","89","89","89","1099.3603515625","1017.122314453125","1246.9716796875"
"1820000","90","90","90","-4636.041829427083","-4931.470703125","-4357.87841796875","90","90","90","604.6846516927084","560.8516235351562","658.9771728515625","90","90","90","1089.9951578776042","992.2886962890625","1195.11181640625"
"1840000","91","91","91","-4743.773600260417","-5105.18359375","-4430.431640625","91","91","91","685.0945638020834","621.4161987304688","802.5603637695312","91","91","91","1084.6065673828125","1004.3526611328125","1175.819580078125"
"1860000","92","92","92","-4728.95263671875","-5109.7421875","-4426.51611328125","92","92","92","682.09033203125","605.455322265625","829.9786987304688","92","92","92","1073.9281412760417","984.510009765625","1193.4791259765625"
"1880000","93","93","93","-4698.333658854167","-5002.77392578125","-4535.22412109375","93","93","93","678.8679809570312","648.4992065429688","738.641357421875","93","93","93","1071.4976399739583","998.140869140625","1189.5789794921875"
"1900000","94","94","94","-4790.020345052083","-5175.8310546875","-4551.41259765625","94","94","94","717.5097045898438","655.3492431640625","787.510498046875","94","94","94","1066.7293294270833","998.9861450195312","1181.81201171875"
"1920000","95","95","95","-4915.393717447917","-5265.09765625","-4739.8486328125","95","95","95","731.4620768229166","586.6616821289062","888.1046142578125","95","95","95","1081.5721435546875","1024.7286376953125","1181.497802734375"
"1940000","96","96","96","-4976.516764322917","-5320.12451171875","-4674.19482421875","96","96","96","762.4276936848959","632.596435546875","917.322509765625","96","96","96","1092.9307454427083","1043.6217041015625","1187.2822265625"
"1960000","97","97","97","-4954.330240885417","-5383.9560546875","-4548.8623046875","97","97","97","707.2706298828125","616.0403442382812","818.229736328125","97","97","97","1090.9618733723958","1033.7073974609375","1199.318359375"
"1980000","98","98","98","-4913.177897135417","-5307.0673828125","-4502.24755859375","98","98","98","675.406494140625","568.1171264648438","786.4698486328125","98","98","98","1089.6053873697917","1031.6829833984375","1200.798583984375"
"2000000","99","99","99","-5093.233072916667","-5430.61865234375","-4475.7607421875","99","99","99","706.1320190429688","631.0521240234375","806.8646850585938","99","99","99","1088.9991861979167","1032.70751953125","1196.5572509765625"
"2020000","100","100","100","-5222.230143229167","-5847.904296875","-4497.5234375","100","100","100","688.4322102864584","671.3978271484375","704.9791259765625","100","100","100","1122.0308024088542","1040.08740234375","1285.43603515625"
"2040000","101","101","101","-5292.549641927083","-6094.40185546875","-4508.25390625","101","101","101","659.2464192708334","604.1046142578125","697.9050903320312","101","101","101","1169.3810221354167","1038.82958984375","1424.8277587890625"
"2060000","102","102","102","-5229.027506510417","-6033.72119140625","-4557.26171875","102","102","102","645.3678792317709","614.5829467773438","672.132568359375","102","102","102","1189.133544921875","1026.298828125","1502.82080078125"
"2080000","103","103","103","-5212.994791666667","-5864.4599609375","-4614.0615234375","103","103","103","681.4327799479166","669.52783203125","704.920654296875","103","103","103","1169.8795572916667","1031.245361328125","1438.58544921875"
"2100000","104","104","104","-5222.570475260417","-5885.24951171875","-4679.47265625","104","104","104","652.2697143554688","600.134521484375","725.392333984375","104","104","104","1136.2548421223958","976.8265380859375","1401.5340576171875"
"2120000","105","105","105","-5273.5048828125","-5912.36865234375","-4669.96142578125","105","105","105","547.9561869303385","377.4021911621094","651.0764770507812","105","105","105","1161.2858276367188","973.0145874023438","1464.7373046875"
"2140000","106","106","106","-5362.385091145833","-5913.150390625","-4875.41845703125","106","106","106","619.0997517903646","510.1348876953125","677.779052734375","106","106","106","1231.0196940104167","1041.076171875","1497.7828369140625"
"2160000","107","107","107","-5418.15087890625","-5815.07861328125","-5041.32568359375","107","107","107","669.8268229166666","659.3863525390625","679.1883544921875","107","107","107","1232.0153401692708","1035.118896484375","1479.9024658203125"
"2180000","108","108","108","-5371.889485677083","-5838.8564453125","-4932.57763671875","108","108","108","591.7562052408854","545.2340087890625","637.8234252929688","108","108","108","1217.4811604817708","1034.66064453125","1465.42626953125"
"2200000","109","109","109","-5260.089518229167","-5875.12109375","-4679.43310546875","109","109","109","601.7773234049479","550.975830078125","627.9407958984375","109","109","109","1172.1769002278645","1020.7754516601562","1445.0821533203125"
"2220000","110","110","110","-5161.49560546875","-5843.78955078125","-4347.9052734375","110","110","110","656.8653767903646","595.147216796875","690.650146484375","110","110","110","1151.159912109375","1014.9121704101562","1421.98828125"
"2240000","111","111","111","-5056.656575520833","-5754.873046875","-4087.96435546875","111","111","111","671.3394368489584","639.4760131835938","730.04248046875","111","111","111","1155.8890177408855","1023.9756469726562","1409.4068603515625"
"2260000","112","112","112","-5014.846598307292","-5783.76123046875","-4066.214599609375","112","112","112","722.5586344401041","678.3244018554688","757.7999877929688","112","112","112","1162.7391357421875","1039.5504150390625","1404.3746337890625"
"2280000","113","113","113","-5053.14501953125","-5800.1962890625","-4126.41796875","113","113","113","703.8669230143229","641.4746704101562","787.39013671875","113","113","113","1179.799072265625","1028.032470703125","1449.7301025390625"
"2300000","114","114","114","-5057.041748046875","-5865.779296875","-3834.031494140625","114","114","114","716.6736246744791","627.6881103515625","806.7808837890625","114","114","114","1181.8391927083333","1012.0926513671875","1462.211669921875"
"2320000","115","115","115","-4833.935546875","-5844.833984375","-3485.72216796875","115","115","115","766.5905558268229","702.1324462890625","867.4269409179688","115","115","115","1217.33349609375","1028.819091796875","1533.5523681640625"
"2340000","116","116","116","-4728.60302734375","-5957.455078125","-3525.7529296875","116","116","116","767.7862955729166","706.9096069335938","866.752197265625","116","116","116","1223.2763671875","1036.043701171875","1533.86279296875"
"2360000","117","117","117","-4648.442789713542","-5876.91796875","-3611.504150390625","117","117","117","750.0036010742188","685.596435546875","822.9232788085938","117","117","117","1220.7797444661458","1055.4725341796875","1527.2388916015625"
"2380000","118","118","118","-4698.714599609375","-6133.66015625","-3476.900634765625","118","118","118","714.5546875","699.3906860351562","742.0706176757812","118","118","118","1207.7041829427083","1052.35400390625","1512.2314453125"
"2400000","119","119","119","-4624.697916666667","-6084.5341796875","-3336.0126953125","119","119","119","699.3742065429688","655.9678344726562","757.3386840820312","119","119","119","1195.1051025390625","1048.1077880859375","1487.7420654296875"
"2420000","120","120","120","-4630.398356119792","-6030.1318359375","-3300.010009765625","120","120","120","725.3458455403646","627.4227905273438","895.6973266601562","120","120","120","1203.1941731770833","1049.93310546875","1491.5814208984375"
"2440000","121","121","121","-4685.446451822917","-6091.5537109375","-3400.38134765625","121","121","121","732.9126790364584","599.3513793945312","926.8375244140625","121","121","121","1203.2206217447917","1047.8092041015625","1467.08154296875"
"2460000","122","122","122","-4623.701578776042","-6229.6025390625","-3359.245849609375","122","122","122","745.8802897135416","618.0186157226562","926.2213134765625","122","122","122","1196.7067464192708","1033.43798828125","1477.2967529296875"
"2480000","123","123","123","-4421.666259765625","-6016.6630859375","-3322.739990234375","123","123","123","688.3386027018229","515.8828735351562","832.987060546875","123","123","123","1224.1175537109375","1036.8203125","1538.698486328125"
"2500000","124","124","124","-4279.972249348958","-5948.9130859375","-3363.046875","124","124","124","660.1619466145834","480.47052001953125","788.4260864257812","124","124","124","1243.4431559244792","1055.0877685546875","1576.4888916015625"
"2520000","125","125","125","-4278.977864583333","-5963.56689453125","-3343.464111328125","125","125","125","664.6275329589844","490.2323913574219","778.4998168945312","125","125","125","1251.06787109375","1059.56005859375","1579.9136962890625"
"2540000","126","126","126","-4268.853434244792","-5983.6875","-3238.970703125","126","126","126","671.3080139160156","459.7596740722656","793.6754760742188","126","126","126","1256.8187662760417","1053.6815185546875","1607.2540283203125"
"2560000","127","127","127","-4337.462076822917","-6038.353515625","-3258.2861328125","127","127","127","693.1741129557291","491.51641845703125","832.0901489257812","127","127","127","1275.2344970703125","1060.7740478515625","1663.47509765625"
"2580000","128","128","128","-4382.97705078125","-6156.423828125","-3271.0830078125","128","128","128","698.8265177408854","528.1132202148438","801.1927490234375","128","128","128","1240.6490071614583","1048.9998779296875","1588.2315673828125"
"2600000","129","129","129","-4413.982747395833","-6092.28759765625","-3327.164306640625","129","129","129","720.1099039713541","542.9799194335938","827.0538330078125","129","129","129","1206.3179524739583","1039.6826171875","1481.319580078125"
"2620000","130","130","130","-4265.222900390625","-6007.5224609375","-3108.62060546875","130","130","130","721.2596232096354","554.2592163085938","823.1448974609375","130","130","130","1235.335693359375","1052.8955078125","1550.4161376953125"
"2640000","131","131","131","-4212.544759114583","-6148.0537109375","-2874.187744140625","131","131","131","706.401611328125","555.1082763671875","787.5631103515625","131","131","131","1247.7820638020833","1054.4945068359375","1580.7125244140625"
"2660000","132","132","132","-4133.495686848958","-6139.75439453125","-2777.3251953125","132","132","132","653.0544230143229","543.543701171875","763.196533203125","132","132","132","1216.3393961588542","1054.2611083984375","1500.296875"
