,safety_threshold,safe_episode_length,explore_fraction
0,0.0,20.3,1.0
1,0.1,372.1,0.19537758667024993
2,0.2,919.4,0.07265608005220796
3,0.30000000000000004,975.0,0.04287179487179487
4,0.4,1000.0,0.0325
5,0.5,933.1,0.030864859071910836
6,0.6000000000000001,1000.0,0.0201
7,0.7000000000000001,1000.0,0.0164
8,0.8,1000.0,0.0088
9,0.9,1000.0,0.0038
10,1.0,1000.0,0.0
